market_uuid,trading_day,quoted_spread,rel_quoted_spread,depth_best,pct_two_sided,rel_eff_spread,rv_mid,n_trades,treatment,repetition,gkey,sess,trader_day_directionality
562efb1b-a346-43e9-8059-5c07029ce57e,14,1.3479630851784317,0.02090878826781447,3.00531608064445,1.0,0.016320926701308844,0.0406413599808129,17,ghp,1,dadcupjc|e60078af|gr27p5tr|ja9vp1ab|stzawa55|tzbpp88u,20260520_PM,0.7777777777777777
562efb1b-a346-43e9-8059-5c07029ce57e,15,1.4827050706121403,0.02300659849128158,2.2551389674604496,1.0,0.025281180122150675,0.05467212298214592,19,ghp,1,dadcupjc|e60078af|gr27p5tr|ja9vp1ab|stzawa55|tzbpp88u,20260520_PM,0.5336700336700336
7639dc96-fd01-4576-8cdc-79c9d30dcd81,1,85.1985386706113,0.6235273263126723,3.009928797556246,0.9747271502983497,0.04878048780487805,0.6283836004962146,1,ghp,2,90ay03zv|ehyb34jx|g9jo03o9|h0ebvwds|u2aoz11d|ukmvlwcs,20260520_PM,1.0
7639dc96-fd01-4576-8cdc-79c9d30dcd81,2,44.32070215731105,0.2847644177653053,2.8717034099365764,0.7423713170287178,0.11147540983606556,0.22525983861594345,5,ghp,2,90ay03zv|ehyb34jx|g9jo03o9|h0ebvwds|u2aoz11d|ukmvlwcs,20260520_PM,0.5
7639dc96-fd01-4576-8cdc-79c9d30dcd81,3,29.91652177517184,0.23629615911158822,2.0782220765888635,0.7615189009264601,0.22223608234903788,0.24838855589774325,16,ghp,2,90ay03zv|ehyb34jx|g9jo03o9|h0ebvwds|u2aoz11d|ukmvlwcs,20260520_PM,0.7962962962962963
7639dc96-fd01-4576-8cdc-79c9d30dcd81,4,49.35986442542991,0.44623429966401823,2.48837678343185,0.692550142576534,0.32422355560587185,0.3414798019686546,11,ghp,2,90ay03zv|ehyb34jx|g9jo03o9|h0ebvwds|u2aoz11d|ukmvlwcs,20260520_PM,0.8333333333333334
7639dc96-fd01-4576-8cdc-79c9d30dcd81,5,42.344320240885175,0.39609058064622393,3.260949235162113,1.0,0.3203463203463204,0.26526244517842296,6,ghp,2,90ay03zv|ehyb34jx|g9jo03o9|h0ebvwds|u2aoz11d|ukmvlwcs,20260520_PM,0.75
7639dc96-fd01-4576-8cdc-79c9d30dcd81,6,41.61749473503688,0.4739637477126939,4.931703027513542,1.0,0.9702280912364946,0.33236764668718466,7,ghp,2,90ay03zv|ehyb34jx|g9jo03o9|h0ebvwds|u2aoz11d|ukmvlwcs,20260520_PM,0.8400000000000001
7639dc96-fd01-4576-8cdc-79c9d30dcd81,7,45.99849323226137,0.5596022487691215,3.8546484843388202,1.0,0.5714285714285714,0.4400618406767179,1,ghp,2,90ay03zv|ehyb34jx|g9jo03o9|h0ebvwds|u2aoz11d|ukmvlwcs,20260520_PM,1.0
7639dc96-fd01-4576-8cdc-79c9d30dcd81,8,38.22809309305785,0.516272553888901,3.4585082328984593,1.0,1.2978183663115168,0.5436931890478526,3,ghp,2,90ay03zv|ehyb34jx|g9jo03o9|h0ebvwds|u2aoz11d|ukmvlwcs,20260520_PM,0.7777777777777777
